Customer ID,Loan Sanction Amount (USD)
C-26247,98691.12
C-35067,71349.55
C-34590,4685.34
C-16668,63728.75
C-12196,64330.48
C-2600,0.0
C-9047,85241.09
C-2206,78864.32
C-25607,0.0
C-11606,17012.56
C-3624,81331.84
C-43027,0.0
C-15190,125850.96
C-25816,19659.87
C-26370,45986.61
C-1281,70547.28
C-29433,9764.27
C-36256,58475.62
C-34217,40765.51
C-39950,62798.82
C-6756,22187.59
C-26652,53264.87
C-3991,80415.49
C-40312,42488.58
C-24580,172163.39
C-4949,0.0
C-18783,80460.65
C-39205,70746.58
C-23784,0.0
C-39508,115678.09
C-19062,118104.99
C-48140,45648.67
C-11314,64484.53
C-766,57339.95
C-39319,10187.75
C-15299,50287.69
C-10298,33795.49
C-25573,58936.12
C-18750,21256.65
C-19298,29778.39
C-11497,61082.24
C-42250,22657.68
C-17501,48459.03
C-24290,62071.74
C-8590,95989.29
C-8038,59017.58
C-25261,0.0
C-32634,10840.86
C-15073,47586.29
C-44174,10986.39
C-31916,81570.72
C-30620,22286.31
C-12561,15989.99
C-40301,115603.96
C-14716,8677.3
C-27558,47969.73
C-32563,43986.93
C-31387,22188.91
C-45649,0.0
C-22572,27005.92
C-48427,48085.99
C-24904,61020.06
C-27683,19950.9
C-43495,66278.9
C-25735,30193.08
C-21375,82035.7
C-41309,59968.48
C-7767,26908.63
C-11841,0.0
C-5763,93501.99
C-8389,37825.98
C-16692,44638.33
C-33430,114776.75
C-2953,191615.11
C-11912,20747.54
C-6072,69349.56
C-6321,35391.44
C-26772,65312.58
C-24747,52024.36
C-20883,177308.53
C-11751,54398.21
C-24776,69247.93
C-20642,23404.56
C-9613,0.0
C-45334,0.0
C-37941,52715.6
C-2908,42315.41
C-13784,17495.39
C-26710,66643.45
C-1892,65013.19
C-49928,115568.85
C-23082,79936.7
C-27939,55164.0
C-41801,0.0
C-19700,9657.08
C-43113,38254.96
C-27336,72652.7
C-36772,44823.54
C-3197,12618.43
C-14674,78512.1
C-5092,20211.97
C-41664,0.0
C-85,30310.31
C-48382,48754.84
C-35744,91161.29
C-32776,0.0
C-49131,278.82
C-29703,25207.31
C-14880,40399.17
C-36170,0.0
C-41645,0.0
C-4784,42987.1
C-38418,49063.58
C-13222,63352.94
C-32852,24855.79
C-21795,10389.25
C-121,39743.19
C-39952,40373.45
C-45166,0.0
C-32641,59532.55
C-27678,19814.8
C-10704,0.0
C-33461,25964.15
C-22001,103610.84
C-30170,66244.58
C-23960,65270.02
C-16139,16867.36
C-27022,12980.07
C-19074,26806.02
C-49284,0.0
C-8598,51135.52
C-14962,28267.25
C-35254,0.0
C-30635,0.0
C-6981,15583.21
C-5924,34337.83
C-9590,2641.38
C-23842,63935.8
C-45972,0.0
C-39623,61131.72
C-49153,0.0
C-34958,50500.0
C-36476,59040.97
C-28630,0.0
C-12012,74074.24
C-37986,82382.12
C-11513,67011.69
C-48999,80768.87
C-7194,55882.51
C-14162,56950.31
C-6137,16894.38
C-7348,0.0
C-25756,7197.44
C-40915,84788.66
C-28646,17144.05
C-31130,44128.82
C-8532,16856.28
C-24097,34354.08
C-1855,24650.87
C-35375,42427.28
C-3997,150478.16
C-42188,48921.85
C-33694,6679.7
C-1613,29858.82
C-9405,75869.46
C-5964,33923.49
C-20231,31233.95
C-23969,13981.16
C-36011,12884.68
C-23079,127422.53
C-44925,0.0
C-9000,90420.81
C-49513,489.58
C-49824,0.0
C-17542,91757.7
C-39446,41612.64
C-24862,29000.92
C-30025,34233.31
C-20039,24535.07
C-34113,101100.42
C-19871,57872.32
C-7017,22478.21
C-16017,83161.45
C-1475,78048.74
C-35040,60724.4
C-37318,20187.41
C-4757,68209.93
C-26696,48646.25
C-2450,103007.62
C-38702,50677.98
C-31969,45595.35
C-34069,29643.59
C-23160,28202.24
C-30804,0.0
C-49195,69468.4
C-13029,52742.69
C-39590,0.0
C-45950,0.0
C-1907,154597.36
C-9729,32632.07
C-24353,48275.62
C-3768,97257.99
C-48652,269552.52
C-14858,5891.45
C-32326,27051.3
C-35385,0.0
C-45900,61047.22
C-5823,42405.46
C-29879,46475.7
C-2015,51502.41
C-19823,54291.52
C-19528,66535.94
C-40682,92894.04
C-49354,0.0
C-25744,124958.18
C-14328,60650.98
C-2727,85013.8
C-45497,22269.78
C-17894,140239.83
C-10903,27451.1
C-39413,65157.29
C-4926,28756.6
C-29376,0.0
C-7440,41523.02
C-38279,35458.33
C-43246,64092.64
C-33701,0.0
C-1603,111389.57
C-21756,0.0
C-20553,0.0
C-40318,0.0
C-23274,35704.05
C-3521,0.0
C-19742,53270.54
C-42176,0.0
C-33938,126961.2
C-20363,89459.16
C-1614,94109.49
C-22568,0.0
C-24796,42327.47
C-25092,58980.97
C-40256,31851.08
C-27504,60184.22
C-25753,64664.2
C-27194,43914.0
C-17798,0.0
C-11864,37898.17
C-722,24548.95
C-8111,129219.97
C-25051,0.0
C-42216,44964.63
C-20767,0.0
C-22334,50633.13
C-23551,26247.38
C-48437,0.0
C-21452,61722.21
C-16307,50695.53
C-29324,35948.0
C-4513,0.0
C-32774,24100.65
C-15695,22257.68
C-48811,105511.63
C-24101,53880.36
C-17567,38773.32
C-3203,39036.17
C-27870,58472.4
C-34250,0.0
C-6052,48062.29
C-33730,34633.97
C-33735,48540.62
C-41784,23224.54
C-36379,50009.98
C-37051,53593.18
C-45284,16269.14
C-22611,25622.7
C-15220,16602.18
C-46916,24643.28
C-16477,0.0
C-32921,53557.48
C-10743,65285.5
C-25717,9351.25
C-38804,86678.49
C-47665,62961.97
C-47745,37699.09
C-8340,121406.42
C-35857,6817.03
C-13835,72635.87
C-8181,105193.98
C-7606,15409.56
C-28889,97413.31
C-19884,24139.91
C-26792,0.0
C-29963,64226.11
C-23208,16955.66
C-26232,109447.81
C-38972,0.0
C-28626,81386.39
C-3278,8133.11
C-9079,24253.22
C-18569,33596.78
C-43756,0.0
C-17687,49565.16
C-5824,93802.04
C-6145,26392.74
C-5160,25821.2
C-13520,38583.49
C-2648,26338.3
C-9345,148726.66
C-46369,117753.08
C-34024,33186.17
C-37594,26165.37
C-16600,37719.0
C-12689,91895.13
C-31285,0.0
C-20977,56403.28
C-8645,69094.15
C-28949,68262.99
C-42339,0.0
C-18516,90940.7
C-26843,20542.29
C-37352,51703.79
C-9621,31124.92
C-40583,35224.4
C-44959,47881.29
C-10087,58928.09
C-31261,128429.05
C-2632,13737.47
C-35797,88403.94
C-9943,32034.03
C-48614,0.0
C-38577,28618.74
C-9012,11725.08
C-22068,32748.07
C-34390,12044.26
C-17445,21630.66
C-42960,26096.76
C-29172,20986.38
C-8067,13093.88
C-19101,0.0
C-16365,0.0
C-46578,98677.06
C-7726,47971.84
C-11802,76170.57
C-26157,24359.69
C-12804,12059.34
C-13829,32412.55
C-16434,50994.27
C-27426,126354.35
C-40208,110222.14
C-35800,27156.2
C-14093,0.0
C-11648,106852.24
C-44330,44146.01
C-3517,58348.47
C-21658,66172.73
C-6711,27108.69
C-16178,26653.13
C-19315,38857.69
C-12505,0.0
C-39404,63862.14
C-23783,0.0
C-40002,48545.01
C-30526,22003.73
C-8034,46251.89
C-33801,123221.57
C-44646,0.0
C-32172,25957.82
C-15887,28268.09
C-391,0.0
C-35271,204315.37
C-45419,24350.06
C-26170,0.0
C-41141,66075.29
C-19608,29304.64
C-12816,36112.6
C-2852,0.0
C-23982,49355.41
C-27035,36948.03
C-19243,31455.41
C-33098,27089.67
C-18918,71325.51
C-38094,20818.07
C-39100,65886.27
C-10477,14919.1
C-41693,0.0
C-25244,75719.08
C-30176,166915.32
C-43024,10003.18
C-17663,27615.74
C-18116,55087.66
C-12113,76147.21
C-47954,0.0
C-5056,125258.63
C-13678,0.0
C-11014,24362.26
C-38944,14355.3
C-6241,0.0
C-3386,14475.06
C-44010,10860.48
C-38450,44308.69
C-5233,38352.02
C-29556,24478.86
C-8420,121204.23
C-15978,27858.19
C-34580,24569.87
C-31624,40753.69
C-26269,25512.74
C-22174,19285.93
C-39257,64060.54
C-461,6963.18
C-19987,15144.49
C-22313,77189.16
C-36169,37058.84
C-27644,33414.09
C-2735,0.0
C-15015,29839.4
C-37397,33991.52
C-45699,0.0
C-20783,60722.56
C-17847,18182.3
C-38305,11813.27
C-6907,0.0
C-7342,116058.16
C-7045,0.0
C-13221,78548.02
C-34726,34107.55
C-35426,61670.91
C-43748,60315.19
C-2888,29961.67
C-32967,22782.23
C-30265,101783.95
C-13304,106183.7
C-17380,61575.04
C-1417,43579.62
C-21679,42762.18
C-31369,132229.56
C-18618,0.0
C-15173,38761.59
C-25409,100758.02
C-22695,101498.97
C-7870,114865.07
C-35059,126807.46
C-19262,75633.95
C-10179,49013.62
C-10978,0.0
C-45858,37049.52
C-8194,25425.12
C-9392,59595.98
C-49795,0.0
C-23829,23030.42
C-28834,6802.12
C-45277,51049.0
C-11440,16193.46
C-10158,44513.59
C-46131,0.0
C-27846,43154.78
C-12099,30318.8
C-7556,31443.14
C-36717,60324.44
C-6230,24560.38
C-26450,62395.42
C-42638,49994.72
C-40852,82964.87
C-48264,9122.94
C-25725,48790.51
C-1251,22836.37
C-38116,55380.44
C-33330,61426.99
C-28034,28257.61
C-15275,44447.15
C-18947,84868.77
C-45711,39793.51
C-39206,92230.6
C-2536,48047.88
C-45427,131015.47
C-34637,42402.81
C-8357,12801.52
C-15199,110709.85
C-42345,53745.42
C-15973,60648.79
C-778,2711.83
C-18961,13865.0
C-31944,75140.62
C-49215,21521.35
C-15736,22708.27
C-39719,48299.99
C-21669,83147.05
C-12666,105690.86
C-108,57745.21
C-28294,49019.84
C-931,54268.21
C-46269,53027.61
C-21864,58069.84
C-40951,15594.89
C-17344,52985.4
C-30471,16775.11
C-6151,0.0
C-49031,0.0
C-21146,0.0
C-9283,11967.93
C-38375,11569.51
C-37722,89024.21
C-39145,96525.38
C-7771,127504.72
C-14611,57667.47
C-3433,54360.68
C-47000,195707.99
C-38783,98388.7
C-25384,51664.19
C-27444,58306.29
C-20567,53495.87
C-19163,129250.25
C-7784,29207.24
C-42195,0.0
C-15641,49881.69
C-45148,64049.04
C-49786,84825.21
C-43483,136029.53
C-31900,24917.35
C-7955,20856.59
C-49917,0.0
C-20928,117700.95
C-32586,130551.68
C-8832,19272.02
C-37974,40549.27
C-11184,116697.45
C-27932,10567.8
